rownum,schoolName,type,satc,admRate,yield,pctRet2,schoolSz,pctLifeOC,finaidAvgAmt
1583,Indiana University East,Public,1390,59.7,52.0,67,4052,,8200
2238,Southwest Baptist University,Private,1495,59.6,40.4,68,3009,62,17296
621,New College of Florida,Public,1920,59.6,27.8,83,832,75,
1309,Chatham University,Private,1590,59.6,27.0,76,922,48,29723
1557,Illinois Wesleyan University,Private,1865,59.5,25.0,89,2013,71,27634
2470,Avila University,Private,1515,59.4,24.0,66,1325,28,18887
563,Valdosta State University,Public,1540,59.2,53.1,67,10290,28,14611
684,Frostburg State University,Public,1465,59.2,35.0,72,4631,32,8783
3879,University of Washington,Public,1865,59.1,39.1,93,28933,13,17000
2723,Austin College,Private,1850,59.1,17.4,84,1242,77,34793
1184,Florida Institute of Technology,Private,1735,59.0,17.2,79,2978,47,32855
3131,Franklin College Switzerland,Private,1800,58.9,27.7,72,413,89,23555
3638,Francis Marion University,Public,1430,58.9,35.4,65,3780,40,11035
1198,Sewanee: The University of the South,Private,1880,58.8,22.9,86,1478,96,30966
564,Stevenson University,Private,1480,58.7,25.6,69,3904,47,16803
3260,Hofstra University,Private,1750,58.7,11.1,78,6893,46,24628
2590,Northwestern College,Private,1670,58.7,34.1,80,1739,65,19602
2586,Northwood University: Texas,Private,1385,58.6,64.9,58,534,27,23720
91,University of Texas at Arlington,Public,1640,58.5,41.1,72,25761,13,12058
4485,Bluffton University,Private,1600,58.5,22.6,68,1077,72,26015
4105,Rochester Institute of Technology,Private,1845,58.5,28.6,89,13711,53,24000
722,Marymount California University,Private,1370,58.4,28.7,69,1001,43,30434
1330,Misericordia University,Private,1550,58.4,34.6,86,2427,45,19765
835,California State University: East Bay,Public,1370,58.3,23.2,75,11450,,11086
914,California State University: San Bernardino,Public,1350,58.3,34.3,88,15885,,11157
2505,East Texas Baptist University,Private,1440,58.2,41.1,52,1241,84,16107
1702,Tennessee State University,Public,1310,58.2,34.2,55,6780,39,
1863,Kentucky Christian University,Private,1440,58.2,42.4,57,574,82,12859
1623,Jewish Theological Seminary of America,Private,1965,58.2,64.9,98,169,72,
1286,California State University: Fresno,Public,1395,58.1,33.2,84,19719,5,11194
4358,Mississippi College,Private,1590,58.1,38.1,73,3042,49,14430
36,Ursuline College,Private,1330,58.1,33.0,71,879,18,23278
2940,College of Wooster,Private,1800,58.1,18.9,90,2080,99,36045
2639,Friends University,Private,1365,58.0,43.0,60,1769,46,13717
2823,Loyola University Chicago,Private,1790,58.0,17.6,87,9723,41,30940
3086,Clemson University,Public,1880,57.9,32.3,91,16562,41,12173
3082,Chowan University,Private,1205,57.9,21.4,43,1308,72,
524,Presbyterian College,Private,1635,57.8,33.9,86,1172,97,32031
3546,Missouri Baptist University,Private,1500,57.8,46.7,60,3850,,
2679,Warner Pacific College,Private,1465,57.8,16.8,66,551,50,16122
3087,Coker College,Private,1450,57.8,38.0,72,1155,73,20903
2345,Averett University,Private,1435,57.7,18.0,62,902,57,18993
3505,SUNY Maritime College,Public,1650,57.6,44.1,81,1614,82,
602,Morgan State University,Public,1325,57.6,31.9,73,6591,31,
3190,Montana State University,Public,1605,57.6,39.0,74,12772,25,11860
682,University of Maryland: Eastern Shore,Public,1305,57.5,35.8,69,3758,60,9534
464,University of Mary Hardin-Baylor,Private,1535,57.5,11.5,68,2926,50,17362
1263,Siena College,Private,1690,57.5,13.3,89,3214,77,21000
3741,Georgia State University,Public,1610,57.4,43.7,83,24665,17,11196
1302,Southern Utah University,Public,1540,57.3,34.6,66,7633,11,8008
3801,Richard Stockton College of New Jersey,Public,1620,57.3,28.2,84,7517,35,16163
663,Elizabeth City State University,Public,1290,57.1,23.5,77,2760,55,
2918,Dominican University,Private,1635,57.1,23.3,80,1995,29,23856
333,Covenant College,Private,1760,57.0,41.6,87,1065,83,22324
1604,Adrian College,Private,1500,57.0,26.0,,1755,,25275
4354,Milwaukee School of Engineering,Private,1810,57.0,42.7,81,2378,33,23772
4238,Lake Forest College,Private,1775,56.9,21.0,83,1552,72,32000
1463,SUNY University at Buffalo,Public,1750,56.9,29.1,87,19505,35,9505
1396,University of Maine at Fort Kent,Public,1355,56.7,56.9,64,1169,26,9865
3401,Arcadia University,Private,1650,56.6,13.3,79,2359,54,
3101,Westminster College,Private,1620,56.6,14.3,86,,73,
3000,University of Delaware,Public,1815,56.5,25.7,92,17427,44,14427
669,Kennesaw State University,Public,1615,56.5,59.6,76,22684,14,7590
522,Piedmont College,Private,1545,56.5,41.3,75,1294,44,18996
371,Hope International University,Private,1425,56.5,52.9,72,1167,60,16750
4139,University of the Sciences in Philadelphia,Private,1780,56.3,19.9,84,2436,29,31526
2620,Jamestown College,Private,1420,56.3,38.4,73,939,69,14192
2614,Iowa Wesleyan College,Private,1490,56.2,15.6,43,650,65,24822
149,University of Houston,Public,1715,56.2,36.5,83,32639,15,13387
958,Point University,Private,1360,56.2,62.7,50,1483,75,
1465,University of Pittsburgh,Public,1895,56.1,26.3,93,18429,44,12882
3632,University of Georgia,Public,1860,56.1,47.7,94,26259,28,12058
1229,Lock Haven University of Pennsylvania,Public,1410,56.1,45.8,71,4969,31,8662
605,University of Charleston,Private,1460,56.0,26.2,70,1026,61,
2817,Lewis University,Private,1685,55.9,21.6,82,4579,28,20668
2690,Point Loma Nazarene University,Private,1735,55.9,30.3,83,2415,68,19970
3655,Dominican University of California,Private,1580,55.8,15.0,81,1628,33,28526
420,University of West Georgia,Public,1420,55.8,57.7,70,9963,27,9228
583,Rollins College,Private,1775,55.8,20.5,84,1884,68,33676
2340,Florida Southern College,Private,1645,55.7,21.7,76,2040,70,
361,Winston-Salem State University,Public,1360,55.7,23.8,78,5245,58,
784,Hampden-Sydney College,Private,1675,55.6,23.4,78,1080,95,29766
413,Stephen F. Austin State University,Public,1495,55.6,36.9,63,11298,42,10747
625,Nova Southeastern University,Private,1585,55.5,29.4,72,5739,,24280
4109,The Sage Colleges,Private,1405,55.5,24.9,74,1741,50,
606,Mount St. Mary's University,Private,1655,55.5,15.3,80,1842,82,23790
3501,SUNY University at Albany,Public,1665,55.5,21.9,83,12875,58,9925
4348,Millikin University,Private,1540,55.5,24.0,78,2264,61,24330
1568,Concordia University Chicago,Private,1515,55.4,16.4,63,1515,55,19151
2152,Texas A&M; University-Galveston,Public,1675,55.3,60.4,45,1905,52,12862
2075,Marquette University,Private,1775,55.2,15.2,88,8293,54,22661
2397,University of Dayton,Private,1705,55.2,24.5,88,8042,74,22850
2764,O'More College of Design,Private,1445,55.1,76.3,,205,,20000
2284,Texas Wesleyan University,Private,1540,55.1,51.0,65,1794,25,13598
4337,Marian University,Private,1525,55.0,27.0,72,2264,43,
3728,Fayetteville State University,Public,1285,55.0,27.8,76,5287,29,11180
1555,Illinois Institute of Technology,Private,1890,54.9,28.6,92,2801,59,34526
3738,Georgia Institute of Technology,Public,2070,54.9,37.8,95,14527,56,19073
1488,Otis College of Art and Design,Private,1555,54.9,22.3,77,1105,8,22594
2463,McMurry University,Private,1480,54.9,35.2,60,1365,47,21519
843,Brigham Young University,Private,1915,54.9,80.1,89,31060,19,6486
4349,Millsaps College,Private,1680,54.8,17.1,78,849,84,27094
675,Limestone College,Private,1535,54.7,32.2,53,902,52,16942
1436,Rhodes College,Private,1890,54.6,24.5,90,1915,71,34271
1203,University of Wisconsin-Madison,Public,1970,54.6,39.6,95,30863,25,12279
814,Shaw University,Private,1110,54.5,15.0,51,2031,40,
1606,Alabama Agricultural and Mechanical University,Public,1245,54.4,17.5,68,4169,,9364
1321,Moore College of Art and Design,Private,1445,54.4,33.0,73,482,,
3734,Gardner-Webb University,Private,1520,54.3,17.4,67,2677,48,18923
969,Bridgewater College,Private,1565,54.3,16.7,77,1760,84,25979
1617,Case Western Reserve University,Private,2080,54.3,17.1,92,4386,77,34152
4136,Penn State University Park,Public,1810,54.2,29.7,92,39193,36,9481
359,University of North Carolina at Wilmington,Public,1770,54.2,41.6,86,12348,33,8220
2657,Huston-Tillotson University,Private,1215,54.1,29.9,51,,39,
1840,Anderson University,Private,1560,54.0,32.1,57,2034,62,
1721,Northwood University: Florida,Private,1460,54.0,31.3,60,497,41,22610
679,Mary Baldwin College,Private,1395,54.0,9.2,69,1526,52,24373
576,Randolph-Macon College,Private,1635,54.0,18.3,80,1312,78,25209
3760,Concordia University,Private,1500,53.8,23.4,70,1369,36,17175
2234,Southern Methodist University,Private,1925,53.8,23.6,91,6249,33,35683
3763,California State Polytechnic University: Pomona,Public,1620,53.8,14.3,92,20542,12,10157
2346,Brevard College,Private,1475,53.7,25.7,52,633,76,20145
627,Florida State University,Public,1800,53.7,35.6,91,32171,20,
451,Hardin-Simmons University,Private,1565,53.6,40.4,66,1853,44,26698
3549,Minot State University,Public,1495,53.6,74.2,70,3298,20,7694
2532,William Penn University,Private,1290,53.5,53.1,,,30,
3160,Bluefield College,Private,1385,53.2,25.3,61,828,65,14416
1055,St. John's University,Private,1645,53.2,10.2,76,15840,31,27045
2442,Texas Southern University,Public,1240,53.1,27.0,61,7021,24,
1711,University of Alabama,Public,1700,53.1,45.4,85,28026,27,11479
3259,Hobart and William Smith Colleges,Private,1840,53.1,25.4,88,2289,90,29793
3089,Notre Dame of Maryland University,Private,1515,53.1,28.4,72,1229,54,
2484,Cornell College,Private,1835,52.9,21.1,84,1180,92,31900
2090,Salisbury University,Public,1730,52.7,26.3,84,7969,29,7143
572,Queens University of Charlotte,Private,1580,52.7,19.8,69,1869,67,22314
3891,Trinity International University,Private,1470,52.7,40.5,,,70,
2894,SUNY Farmingdale State College,Public,1540,52.6,41.9,80,7889,8,8587
2441,Texas Lutheran University,Private,1530,52.6,36.4,67,1311,56,22417
532,Piedmont International University,Private,1315,52.6,72.5,,240,,
3084,Claflin University,Private,1325,52.6,18.8,74,1883,71,14881
1177,Columbus State University,Public,1465,52.6,60.1,67,7025,20,9017
4120,Worcester Polytechnic Institute,Private,1975,52.6,23.8,96,3952,50,31426
1332,College of New Rochelle,Private,1410,52.3,24.9,73,868,24,
3452,Whitworth University,Private,1805,52.3,17.4,85,2348,62,29994
3035,Lipscomb University,Private,1685,52.2,42.8,76,2753,52,19642
685,Towson University,Public,1635,52.2,26.0,86,17988,25,9227
2561,Oral Roberts University,Private,1565,52.1,59.2,82,2782,72,15320
33,SUNY College at Old Westbury,Public,1505,52.0,20.8,80,4217,22,9981
3648,University of North Florida,Public,1735,52.0,29.7,83,14398,20,8650
3718,Georgia Southern University,Public,1665,52.0,65.9,77,17993,28,8548
1632,La Roche College,Private,1410,52.0,30.2,66,1345,40,26024
2516,Missouri Valley College,Private,1350,52.0,41.1,,1734,73,9598
2518,University of Texas at Dallas,Public,1930,52.0,42.0,85,12029,25,14694
4476,Cabarrus College of Health Sciences,Private,1490,51.9,78.0,,481,,
4023,Barry University,Private,1410,51.9,15.8,62,4619,,23891
1609,Alabama State University,Public,1280,51.8,26.6,62,5132,33,14611
2331,Elon University,Private,1835,51.7,26.9,90,5357,60,16094
1304,Framingham State University,Public,1565,51.7,29.4,74,4490,52,11740
2768,University of St. Francis,Private,1465,51.6,24.8,79,1423,26,22081
3579,SUNY College at Fredonia,Public,1570,51.5,33.2,78,5231,45,10354
415,Sterling College,Private,1405,51.5,33.5,55,652,76,21669
753,Southern Illinois University Carbondale,Public,1515,51.4,31.1,61,14130,29,14205
1269,Syracuse University,Private,1755,51.3,25.6,92,14798,75,35120
1175,Converse College,Private,1565,51.3,25.8,76,690,85,23916
422,West Virginia University Institute of Technology,Public,1500,51.3,37.5,45,1107,,6970
607,Montreat College,Private,1445,51.3,21.9,50,701,72,21818
2676,University of South Carolina: Aiken,Public,1465,51.2,39.1,68,3123,27,10817
3340,Santa Clara University,Private,1945,51.2,17.4,95,5250,53,26310
937,Purdue University Calumet,Public,1450,51.0,49.6,69,8912,7,4052
832,University of St. Francis,Private,1445,51.0,41.6,71,1978,20,18909
536,Emmanuel College,Private,1460,50.9,32.3,67,806,56,13595
3499,SUNY College of Environmental Science and Forestry,Public,1785,50.7,39.6,87,1819,35,13000
469,University of Houston-Victoria,Public,1360,50.7,20.9,,,,10377
472,Waldorf College,Private,1280,50.6,29.1,49,878,59,13048
340,Oklahoma Wesleyan University,Private,1405,50.6,14.7,80,1028,28,16448
613,North Carolina Central University,Public,1295,50.3,31.5,72,6658,42,11865
2655,Howard Payne University,Private,1450,50.3,38.3,61,1086,57,17289
2275,Wesleyan College,Private,1475,50.2,35.0,83,648,82,18360
4158,Loyola Marymount University,Private,1815,50.2,21.4,89,6085,52,23356
1174,Concord University,Public,1450,50.1,53.2,71,2611,38,
3307,Emmanuel College,Private,1655,50.0,14.1,81,2198,72,26384
2962,Aquinas College,Private,1595,50.0,44.4,58,553,2,
2981,University of the Southwest,Private,1340,50.0,56.8,62,325,73,11000
4108,Rosemont College,Private,1420,49.9,16.0,80,524,70,29622
611,Mount Olive College,Private,1395,49.8,31.6,58,3714,16,14333
614,North Carolina State University,Public,1840,49.6,41.2,92,24833,32,12846
2312,University of Minnesota: Twin Cities,Public,1975,49.5,29.2,91,34469,21,12910
3041,Denison University,Private,1940,49.5,26.7,92,2336,99,37445
3583,Manor College,Private,1370,49.4,39.9,,930,4,19621
657,University of New Orleans,Public,1665,49.2,55.5,65,7689,8,9030
1552,Hillsdale College,Private,1945,49.1,40.7,98,1434,85,12300
671,LaGrange College,Private,1530,49.1,31.3,60,834,64,19515
821,Southeastern University,Private,1490,49.0,83.7,64,2448,51,15078
3731,Florida Agricultural and Mechanical University,Public,1425,48.6,48.8,80,10053,27,
3450,Whitman College,Private,1985,48.6,27.5,94,1539,67,31278
1292,La Sierra University,Private,1420,48.5,32.5,77,2048,31,21378
3306,Emerson College,Private,1845,48.4,24.0,88,3675,57,19193
1848,SUNY College at Oswego,Public,1695,48.4,27.0,80,7151,57,7044
1375,Simmons College,Private,1715,48.3,18.7,85,,51,25593
2838,St. Lawrence University,Private,1835,48.2,32.8,93,2398,97,39811
2245,Southwestern Adventist University,Private,1380,48.2,49.2,61,795,29,
394,Young Harris College,Private,1475,48.2,41.0,,1034,90,19593
683,Bowie State University,Public,1335,48.1,38.2,,4283,50,8415
2001,Oakland City University,Private,1385,47.9,48.4,75,2301,50,
2622,Kansas Wesleyan University,Private,1520,47.9,44.8,47,711,58,
3506,SUNY College at Brockport,Public,1600,47.7,26.5,81,7133,38,9739
139,Texas A&M; International University,Public,1380,47.7,47.0,69,,,11379
1438,Spring Hill College,Private,1630,47.5,22.4,74,1202,80,30933
2684,Pacific Union College,Private,1515,47.3,29.2,78,1564,71,22470
3842,California Lutheran University,Private,1680,47.3,17.5,83,2804,53,23880
1573,Cumberland University,Private,1385,47.1,56.3,67,1237,39,
2410,Alcorn State University,Public,1330,47.1,33.7,69,3208,52,14958
126,SUNY College of Technology at Alfred,Public,1455,47.0,43.3,,3527,74,
97,Greensboro College,Private,1395,47.0,22.0,64,1160,48,
599,University of Tampa,Private,1615,46.9,22.0,74,6143,59,15712
3161,Bluefield State College,Public,1405,46.8,62.9,53,1935,,3234
618,North Carolina Wesleyan College,Private,1320,46.8,29.2,56,1520,32,21500
2321,University of Texas at Austin,Public,1900,46.7,48.9,93,39955,19,13669
3218,Albright College,Private,1595,46.7,14.4,74,2199,65,
4174,Northern Kentucky University,Public,1470,46.7,63.9,67,13318,14,8544
296,University of St. Mary,Private,1450,46.7,34.2,64,886,30,19354
4104,Roberts Wesleyan College,Private,1595,46.5,23.7,73,1323,57,23673
566,Virginia Military Institute,Public,1720,46.3,51.4,82,1664,100,14050
3462,California State University: Northridge,Public,1385,46.2,30.6,75,31119,,11411
636,University of Central Florida,Public,1780,46.2,39.5,88,50968,17,6816
909,The College of New Jersey,Public,1860,46.1,28.7,94,6545,48,10062
1328,Muhlenberg College,Private,1860,46.1,25.1,90,2422,92,26110
1902,Belhaven University,Private,1545,46.0,38.2,72,2551,24,12252
521,Pfeiffer University,Private,1470,46.0,27.5,71,975,50,
3132,McGill University,Public,2040,45.8,43.4,,,12,
705,California State University: Fullerton,Public,1550,45.8,25.4,88,32379,6,10983
761,Villanova University,Private,1955,45.7,24.1,94,7100,70,33169
974,Saint Thomas University,Private,1360,45.7,63.3,70,1111,26,
3580,SUNY College at Geneseo,Public,1935,45.7,23.8,90,5388,54,6006
989,University of California: Davis,Public,1840,45.7,23.1,93,25759,25,21420
1849,SUNY College at Plattsburgh,Public,1620,45.6,26.8,78,5706,46,11727
39,Boston University,Private,1950,45.6,19.3,92,18306,60,37655
3152,Dalton State College,Public,1415,45.6,81.3,62,5047,4,6225
395,Abilene Christian University,Private,1630,45.5,24.9,75,3626,44,18199
1878,Fisk University,Private,1445,45.5,15.1,85,580,64,14181
3216,Bryn Athyn College,Private,1490,45.4,26.6,80,242,73,16900
807,Jacksonville University,Private,1530,45.3,33.0,61,3319,42,24934
623,University of North Carolina School of the Arts,Public,1665,45.2,54.4,85,760,58,
3748,Bentley University,Private,1835,45.1,30.8,95,4237,78,31077
2483,Central Baptist College,Private,1335,45.0,85.7,50,832,25,
4031,Catawba College,Private,1485,44.9,19.1,71,1279,66,22102
513,Oklahoma Christian University,Private,1640,44.7,47.3,78,1910,80,20495
492,University of Connecticut,Public,1860,44.7,23.2,93,17528,72,12086
3244,Kentucky State University,Public,1210,44.5,25.2,46,2296,37,10097
3507,SUNY College at Cortland,Public,1665,44.5,23.3,85,6345,50,13122
4020,Barton College,Private,1440,44.4,15.1,73,1103,51,18479
1664,California State University: Monterey Bay,Public,1455,44.4,16.2,80,5194,60,10967
2574,Newman University,Private,1585,44.3,17.6,70,2384,26,18984
393,American University,Private,1880,44.2,21.2,90,7299,,30402
2994,Toccoa Falls College,Private,1480,44.2,39.7,67,807,75,17210
3001,University of Florida,Public,1905,44.1,52.0,96,32776,,13093
990,University of California: Santa Barbara,Public,1860,44.0,19.6,91,18977,37,23506
1882,Freed-Hardeman University,Private,1635,43.7,72.8,71,1449,82,16126
3581,SUNY College at New Paltz,Public,1690,43.6,19.9,88,6685,42,9383
3665,Chapman University,Private,1820,43.6,28.0,91,5677,34,31324
3483,Rensselaer Polytechnic Institute,Private,2075,43.6,20.0,94,5391,57,34436
1478,North Park University,Private,1550,43.4,17.7,71,2203,46,13276
2633,LeTourneau University,Private,1795,43.3,49.6,78,2450,72,22004
666,University of South Florida,Public,1760,43.2,30.4,87,30289,18,10143
2411,SUNY College at Oneonta,Public,1660,43.1,22.1,84,5863,59,8818
4029,Bethany College,Private,1330,43.0,40.6,59,812,94,
3582,Fordham University,Private,1890,42.9,12.9,,8325,56,27856
3504,SUNY University at Binghamton,Public,1975,42.9,22.0,91,12356,61,10590
1509,San Diego Christian College,Private,1380,42.6,39.8,66,739,42,15300
3267,University of San Diego,Private,1840,42.6,15.2,90,5457,45,29600
2634,Lincoln University,Public,1345,42.6,42.4,36,3013,22,9447
3818,Gordon College,Public,1295,42.6,81.7,,4171,26,
1376,Smith College,Private,1975,42.4,35.3,93,2664,95,39440
672,Lander University,Public,1475,42.3,40.2,61,2969,33,
440,Grambling State University,Public,1190,42.1,34.8,,4431,,3229
853,Mount Holyoke College,Private,1975,42.1,31.0,92,2322,95,31846
1182,Jefferson College of Health Sciences,Private,1445,41.9,33.9,53,863,8,
1264,Skidmore College,Private,1845,41.9,27.1,92,2660,86,37067
3163,Delaware State University,Public,1345,41.7,28.1,60,3955,56,
95,Ohio Valley University,Private,1525,41.5,32.1,46,436,53,13814
638,Flagler College,Private,1670,41.5,29.1,69,2848,36,11554
290,Prairie View A&M; University,Public,1285,41.4,39.9,64,6757,25,14745
3408,Bryn Mawr College,Private,1965,41.4,33.6,90,1322,93,41074
2494,Dallas Baptist University,Private,1680,41.3,44.3,71,3513,51,16121
515,Central Christian College of Kansas,Private,1370,41.3,39.8,49,819,72,
1424,Baptist Bible College of Pennsylvania,Private,1535,41.2,33.0,47,604,79,
1003,Mid-Atlantic Christian University,Private,1295,41.1,53.6,57,165,55,8962
3489,Stillman College,Private,1335,41.0,20.0,,,,
2438,Texas Christian University,Private,1780,40.9,23.5,90,8456,47,21669
765,Washington & Jefferson College,Private,1705,40.8,14.2,,1429,91,28300
2322,University of Tulsa,Private,1930,40.7,28.3,88,3160,74,28906
2720,Alderson-Broaddus College,Private,1425,40.6,26.0,66,826,76,21708
2489,Dallas Christian College,Private,1400,40.5,84.8,42,329,,
3724,Florida International University,Public,1710,40.5,41.1,82,37468,7,6926
1266,Stevens Institute of Technology,Private,1905,40.4,37.1,92,,85,
1400,Gordon College,Private,1730,40.3,28.9,80,1580,90,21299
1641,Dickinson College,Private,1930,40.2,25.7,91,2386,95,34269
2916,Rockford College,Private,1350,40.1,18.2,61,1022,41,17322
2091,SUNY University at Stony Brook,Public,1885,40.1,24.3,90,16003,61,11214
4014,Andrew College,Private,1240,39.9,41.7,,292,,
3634,University of Miami,Private,2000,39.7,18.3,91,10590,39,34845
298,St. Mary's University,Private,1560,39.6,19.1,76,2459,59,
977,Clayton State University,Public,1410,39.4,60.8,68,6808,5,9431
2898,Occidental College,Private,1950,39.4,21.9,94,2176,80,38084
3587,Franklin & Marshall College,Private,1965,39.3,29.5,92,2365,97,
3745,Brandeis University,Private,2020,39.1,25.0,95,3588,74,37391
633,Florida Atlantic University,Public,1595,39.0,29.8,78,24823,6,9954
2403,University of La Verne,Private,1555,38.9,22.8,85,2499,33,28210
3393,SUNY Institute of Technology at Utica/Rome,Public,1610,38.9,27.0,70,1688,30,4770
3901,Tiffin University,Private,1440,38.6,65.1,66,5728,20,17482
324,University of Science and Arts of Oklahoma,Public,1425,38.5,81.3,60,983,46,9174
1459,Union College,Private,1955,38.2,27.8,94,2241,89,36912
809,Johnson C. Smith University,Private,1270,38.1,20.0,72,1669,61,16757
662,Spelman College,Private,1520,38.0,22.6,90,2145,65,13904
1611,Alice Lloyd College,Private,1445,37.8,18.2,,608,79,12035
2133,New York School of Interior Design,Private,1555,37.8,67.8,93,556,1,9557
1294,University of the Pacific,Private,1825,37.8,9.8,82,3867,46,26896
991,University of California: San Diego,Public,1860,37.8,19.9,94,22676,40,
2277,Western Carolina University,Public,1560,37.7,27.2,74,7979,49,8551
2881,Andrews University,Private,1595,37.5,40.5,78,1917,63,25487
1300,Colorado School of Mines,Public,1970,37.4,21.7,89,4169,43,12239
3888,Tougaloo College,Private,1260,37.4,19.9,80,972,60,11650
1619,Central State University,Public,1185,36.7,18.0,43,2116,52,
480,Macalester College,Private,2055,36.7,24.1,94,2070,62,37945
1058,The College of Saints John Fisher & Thomas More,Private,1710,36.6,86.7,2,21,90,15800
1195,University of Michigan,Public,2065,36.5,39.6,97,27979,34,21255
3447,Baptist College of Florida,Private,1475,36.3,65.2,82,538,39,6618
442,Grinnell College,Private,2090,36.3,30.5,95,1674,82,38718
3315,Kenyon College,Private,1970,36.0,31.4,91,1667,98,37805
3928,Reed College,Private,2070,35.9,28.4,91,1432,63,36132
1382,Connecticut College,Private,1985,35.8,29.0,92,1926,99,34688
2395,University of Rochester,Private,2030,35.8,23.0,96,5785,83,37988
3894,Tuskegee University,Private,1375,35.1,18.5,73,2606,55,
2659,Houston Baptist University,Private,1645,35.0,12.6,68,2052,37,23701
3186,New York University,Private,2035,35.0,34.3,92,22498,50,28920
1166,Florida Christian College,Private,1370,34.6,45.6,55,374,62,
3681,Lafayette College,Private,1950,34.5,27.4,95,2488,92,37641
2002,Oakwood University,Private,1370,34.3,43.5,,2728,68,
3455,Corban University,Private,1575,34.0,23.8,68,947,66,19626
2266,Wake Forest University,Private,2000,34.0,31.8,94,4815,68,34647
1244,Trinity College,Private,1940,33.7,22.7,88,2301,89,41912
1380,College of the Holy Cross,Private,1950,33.5,31.5,95,2926,91,33492
3311,SUNY College at Purchase,Public,1605,33.4,23.3,83,4155,66,9124
3737,George Washington University,Private,1945,33.1,33.2,93,10464,67,38163
3813,Calumet College of St. Joseph,Private,1225,32.8,79.4,,856,,11764
398,University of Arkansas at Pine Bluff,Public,1225,32.8,38.6,57,2724,45,
226,Lehigh University,Private,1980,32.6,32.4,94,4883,69,36189
4012,Scripps College,Private,2005,32.4,30.6,92,945,95,36473
3090,College of William and Mary,Public,2025,32.2,33.4,96,6171,72,14812
2802,Northeastern University,Private,2065,31.9,18.9,96,16685,54,29409
1908,Berea College,Private,1760,31.8,72.5,82,1658,84,28239
1913,Blue Mountain College,Private,1480,31.5,52.7,85,502,52,7420
2579,St. Gregory's University,Private,1395,31.4,82.3,41,628,,
2849,Marist College,Private,1765,31.4,30.5,89,5560,67,16794
2003,Oberlin College,Private,2030,31.3,34.0,93,2930,88,31983
951,San Diego State University,Public,1645,31.3,26.3,89,26624,14,9000
4217,California Polytechnic State University: San Luis Obispo,Public,1855,31.3,32.1,93,17680,36,9543
3272,New Mexico Institute of Mining and Technology,Public,1900,31.1,94.3,74,1565,53,11261
1486,California State University: Long Beach,Public,1545,30.8,25.2,89,30931,7,12507
579,University of Richmond,Private,1980,30.3,25.2,93,3074,89,41347
1092,Wellesley College,Private,2075,30.1,43.4,97,2481,93,39937
707,Babson College,Private,1905,29.9,28.5,94,2015,85,37261
3162,Brenau University,Private,1445,29.8,13.5,66,773,,22665
2350,University of Virginia,Public,2050,29.6,42.2,97,15822,41,22702
1314,Colgate University,Private,2040,29.4,33.0,95,2871,92,42313
1475,Spalding University,Private,1410,29.3,77.2,72,,,
3921,Pepperdine University,Private,1850,29.2,31.5,91,3488,58,34617
2392,Colby College,Private,2010,29.0,32.5,95,1863,94,40178
712,Boston College,Private,2045,28.8,24.5,95,9110,85,34302
3693,Carnegie Mellon University,Private,2160,27.8,29.3,95,6279,,31612
3635,University of North Carolina at Chapel Hill,Public,1960,27.6,49.9,97,18503,46,15939
2291,Tulane University,Private,2005,27.3,20.0,89,8423,44,31130
3251,Hamilton College,Private,2085,27.2,33.8,96,1884,98,36725
539,Emory University,Private,2085,27.0,30.0,95,7656,70,35945
3409,Bucknell University,Private,1960,27.0,41.0,95,3536,86,28500
708,Bates College,Private,2015,26.6,38.6,95,1753,92,38185
509,Carleton College,Private,2145,25.5,35.3,98,2055,94,35113
3119,Rhode Island School of Design,Private,1870,25.4,55.4,93,1971,,19549
2519,Trinity College of Florida,Private,1400,25.3,65.9,45,213,24,9883
982,Davidson College,Private,2035,24.8,41.4,97,1790,92,
1197,University of Notre Dame,Private,2155,23.3,51.0,97,8475,80,35326
1299,Colorado College,Private,1995,23.2,39.9,95,2008,78,40524
3254,Haverford College,Private,2125,22.9,38.9,96,1205,99,41352
760,Vassar College,Private,2095,22.8,36.5,96,2406,94,45236
34,Barnard College,Private,2010,22.5,48.9,97,2509,91,40899
992,University of California: Los Angeles,Public,1980,22.0,35.2,96,27941,35,
1245,Tufts University,Private,2155,21.4,37.4,97,5255,64,35033
3314,Kentucky Wesleyan College,Private,1490,21.2,81.9,54,678,45,15146
122,Wesleyan University,Private,2090,20.9,35.8,95,2940,99,42088
3341,University of Southern California,Private,2080,19.9,32.9,97,18316,38,41758
2268,Washington and Lee University,Private,2085,19.5,41.2,95,1838,59,44349
484,Harvey Mudd College,Private,2265,19.2,30.8,98,782,98,36841
3805,Franklin W. Olin College of Engineering,Private,2260,19.2,54.0,99,355,99,31258
1461,United States Merchant Marine Academy,Public,1915,18.5,66.7,,1008,100,
988,University of California: Berkeley,Public,2055,18.0,36.5,97,25774,26,21767
4099,Northwestern University,Private,2200,18.0,38.0,97,8475,65,
313,Washington University in St. Louis,Private,2245,17.9,33.6,96,7259,79,35508
808,Johns Hopkins University,Private,2130,17.7,36.7,97,5192,54,37917
850,Middlebury College,Private,2065,17.2,39.4,97,2516,97,38670
4118,Williams College,Private,2165,17.0,45.5,96,2052,94,44508
3736,Georgetown University,Private,2110,17.0,46.0,96,7552,67,34238
2569,Rice University,Private,2185,16.7,37.0,97,,72,35549
