rownum,schoolName,type,satc,admRate,yield,pctRet2,schoolSz,pctLifeOC,finaidAvgAmt
2265,Southwest Minnesota State University,Public,1445,70.4,35.4,68,6388,34,6317
4013,Anderson University,Private,1580,70.4,46.4,77,2630,54,19896
3220,Alfred University,Private,1630,70.3,22.9,68,1935,76,25728
1610,Albion College,Private,1660,70.2,21.5,73,1382,90,26742
1567,Concordia University Wisconsin,Private,1540,70.2,34.5,74,4419,41,20828
2498,Eastern Mennonite University,Private,1565,70.2,33.6,78,1124,60,
2143,Luther College,Private,1645,70.2,25.9,88,2473,85,29605
3208,Clark University,Private,1755,70.0,19.7,92,2352,71,32364
2967,Baldwin Wallace University,Private,1625,70.0,28.5,82,3512,60,24089
2402,Massachusetts College of Art and Design,Public,1635,70.0,36.6,88,2172,38,10580
4334,Madonna University,Private,1470,70.0,42.6,83,3205,7,9880
448,Hamline University,Private,1735,70.0,23.6,81,2140,41,27841
4066,Lasell College,Private,1465,70.0,19.9,72,1655,78,21097
414,Stephens College,Private,1515,70.0,32.6,74,673,68,22765
2767,College of Mount St. Joseph,Private,1445,69.8,32.6,77,1840,23,84
1413,Ursinus College,Private,1795,69.8,18.6,90,1680,95,
2601,Oklahoma City University,Private,1655,69.8,34.8,80,2075,58,20593
3784,Eastern University,Private,1565,69.7,35.9,80,2701,72,
3684,Le Moyne College,Private,1630,69.7,17.4,85,2749,59,22089
944,California State University: Sacramento,Public,1435,69.7,23.0,81,25541,6,10804
3301,Dean College,Private,1270,69.7,29.1,62,1235,89,21832
403,Lyon College,Private,1575,69.7,24.7,72,599,77,22627
1374,Salve Regina University,Private,1675,69.7,16.5,82,2053,60,23289
3786,Elizabethtown College,Private,1670,69.6,19.4,86,1885,88,26065
1253,University of Hartford,Private,1525,69.6,14.1,72,5284,62,16846
3687,Manhattan College,Private,1610,69.6,18.5,88,3351,65,22566
4335,Malone University,Private,1540,69.5,32.8,63,1897,55,21790
4054,Westminster College,Private,1675,69.5,19.2,78,2526,27,23150
2224,Emmaus Bible College,Private,1530,69.5,95.1,,,,
1296,Concordia University,Private,1555,69.5,24.0,78,1738,48,19085
3178,Yeshiva University,Private,1840,69.5,69.0,92,2869,78,
581,Roanoke College,Private,1625,69.3,18.4,81,2060,74,28401
1508,"St. Joseph's College, New York",Private,1485,69.3,19.4,84,1299,1,15145
4360,Mississippi State University,Public,1650,69.3,39.9,81,16390,27,13045
2365,Salem State University,Public,1485,69.3,32.6,74,7741,28,
4140,University of the Arts,Private,1490,69.3,36.8,80,1909,33,
3474,Sierra Nevada College,Private,1485,69.3,14.3,79,536,52,21200
4116,Wheelock College,Private,1465,69.2,18.6,68,904,70,20524
3339,University of San Francisco,Private,1725,69.2,17.4,90,6344,32,
3118,Rhode Island College,Public,1395,69.1,34.5,75,7553,15,9402
2587,Ouachita Baptist University,Private,1580,69.1,28.8,76,1532,96,19418
1645,Dominican College of Blauvelt,Private,1320,69.0,22.9,64,1595,52,17762
1572,University of the Cumberlands,Private,1435,69.0,27.0,63,1864,74,19519
3241,Kalamazoo College,Private,1785,69.0,21.2,94,1379,75,32931
2273,Webber International University,Private,1385,68.9,45.3,52,654,52,18697
473,Wartburg College,Private,1550,68.9,27.9,76,1747,83,26249
3266,University of Redlands,Private,1720,68.9,23.5,91,3360,69,33263
3141,Augustana College,Private,1860,68.8,22.5,84,2551,73,25327
2207,Indiana University Northwest,Public,1360,68.8,63.9,67,5636,,7106
3060,Columbia College,Private,1545,68.8,37.7,67,953,34,13801
1481,University of Scranton,Private,1705,68.8,14.6,87,4041,64,21694
1324,Mount Aloysius College,Private,1365,68.8,35.7,66,1706,33,14670
1353,Wheaton College,Private,1970,68.7,44.4,95,2508,90,22466
1445,Niagara University,Private,1565,68.7,25.2,81,3175,50,25251
3111,Quinnipiac University,Private,1640,68.7,13.8,85,6430,77,23867
2351,Mars Hill College,Private,1425,68.7,21.4,55,1351,68,18039
3049,Wright State University,Public,1510,68.7,41.5,56,13143,19,9693
3730,St. Andrews University,Private,1415,68.5,25.8,64,460,85,19247
3085,Clark Atlanta University,Private,1315,68.5,16.0,61,2632,55,7258
3080,University of North Carolina at Charlotte,Public,1620,68.5,37.6,77,21179,25,8679
4345,Midway College,Private,1550,68.5,21.2,55,1423,15,
1877,University of Findlay,Private,1585,68.3,32.1,74,3898,45,20822
847,Worcester State University,Public,1500,68.1,33.5,78,5307,25,11983
1171,Campbell University,Private,1595,67.8,10.0,72,4589,64,20748
854,Mount Ida College,Private,1295,67.8,21.7,68,1379,63,
3788,Xavier University,Private,1650,67.7,14.0,80,4485,50,19115
3075,William Peace University,Private,1365,67.7,31.0,65,791,51,23939
3088,College of Charleston,Public,1810,67.6,26.4,82,10506,31,12487
4101,Northwood University: Michigan,Private,1525,67.6,38.7,77,1536,41,21185
4342,Marietta College,Private,1645,67.6,14.1,75,1487,76,27091
629,Florida Gulf Coast University,Public,1540,67.6,40.8,76,12155,34,8926
995,University of Denver,Private,1815,67.6,15.7,86,5394,42,30905
1221,Bloomsburg University of Pennsylvania,Public,1495,67.6,27.4,78,9201,42,7274
73,University of Missouri: Kansas City,Public,1825,67.6,37.4,69,10626,8,10463
1228,Kutztown University of Pennsylvania,Public,1440,67.5,30.4,71,9135,45,7326
4119,Eastern Connecticut State University,Public,1525,67.4,34.3,76,5258,52,8586
4344,Marion Military Institute,Public,1620,67.4,50.7,,382,100,
3439,Lynchburg College,Private,1500,67.3,17.2,73,2211,77,25181
1199,University of Tennessee: Knoxville,Public,1765,67.3,43.4,85,20916,37,12866
4347,Milligan College,Private,1595,67.3,42.0,80,957,73,20479
1193,University of Kentucky,Public,1700,67.3,36.7,81,20827,26,
2104,McKendree University,Private,1535,67.3,33.2,81,2235,70,21550
2695,Norfolk State University,Public,1305,67.3,38.3,73,6367,38,
488,Thomas College,Private,1360,67.3,34.9,66,1201,65,21435
1409,Temple University,Public,1670,67.2,32.8,87,27567,17,15332
1305,Massachusetts College of Liberal Arts,Public,1530,67.2,27.6,75,1600,63,14397
2891,SUNY College of Technology at Canton,Public,1375,67.2,30.6,,3780,37,9278
3284,Northwest Nazarene University,Private,1625,67.2,38.8,,1477,67,22123
1158,Holy Family University,Private,1415,67.1,32.9,76,2139,13,
397,Texas A&M; University,Public,1810,67.1,43.6,92,40103,23,16478
674,Lenoir-Rhyne University,Private,1495,67.1,10.2,,1544,,24153
1907,Beloit College,Private,1880,67.1,21.1,91,1359,94,28742
3223,Indiana University-Purdue University Indianapolis,Public,1515,67.1,44.1,72,22271,6,9507
4035,University of Cincinnati,Public,1725,67.1,36.3,85,23096,19,8656
3385,Vanguard University of Southern California,Private,1480,67.0,43.0,73,,68,
3938,Wabash College,Private,1755,67.0,28.3,86,906,87,31769
1278,Eastern Oregon University,Public,1400,67.0,42.3,64,3845,11,9590
4501,Middle Tennessee State University,Public,1565,66.9,49.6,,22371,17,10541
2819,Lincoln Christian University,Private,1500,66.9,67.4,75,679,51,10023
3065,Coe College,Private,1700,66.7,21.7,81,1364,84,29271
1666,Albany College of Pharmacy and Health Sciences,Private,1785,66.7,24.7,86,1072,65,15372
2221,Campbellsville University,Private,1515,66.7,35.1,63,3132,46,20332
2605,Evangel University,Private,1570,66.6,45.8,74,1879,68,15263
181,Dickinson State University,Public,1370,66.5,63.2,53,1837,70,8869
3937,Penn State Shenango,Public,1340,66.5,56.6,56,578,,11264
3006,Gonzaga University,Private,1790,66.5,23.6,94,4906,57,24204
3184,Albertus Magnus College,Private,1360,66.5,27.9,76,,45,18688
3217,Adelphi University,Private,1680,66.5,16.4,82,5103,24,19000
601,Morehouse College,Private,1540,66.4,33.3,82,2363,66,22078
213,John Brown University,Private,1705,66.4,40.9,84,1779,74,20817
221,Juniata College,Private,1780,66.4,25.0,85,1565,71,29241
2269,Washington College,Private,1735,66.4,13.5,85,1512,85,31111
1152,Gwynedd-Mercy College,Private,1410,66.4,24.2,77,2223,24,19663
3740,Georgia Southwestern State University,Public,1475,66.4,46.0,63,2749,29,9003
3283,Northwest Christian University,Private,1495,66.3,37.6,71,456,31,19140
4096,Northland College,Private,1635,66.3,29.2,78,590,77,32590
4343,Indiana Wesleyan University,Private,1600,66.3,31.9,75,2999,81,21516
1262,Seton Hill University,Private,1515,66.2,24.4,78,1675,46,24590
4124,Adams State College,Public,1460,66.2,31.5,55,2679,47,
1334,College of Saint Rose,Private,1565,66.2,16.6,81,2881,47,17580
1277,Eastern New Mexico University,Public,1410,66.1,46.8,63,4586,25,10356
2241,Texas State University: San Marcos,Public,1580,66.1,61.7,77,29458,20,12599
4028,Berry College,Private,1715,66.1,26.8,75,2041,86,24755
2769,Ohio Dominican University,Private,1515,66.0,20.6,66,2127,45,
3011,Westmont College,Private,1795,66.0,23.8,88,1346,84,26504
2718,North Carolina Agricultural and Technical State University,Public,1345,66.0,42.0,74,8923,,14094
787,Hollins University,Private,1625,66.0,23.8,70,613,77,29987
542,Erskine College,Private,1535,66.0,24.0,77,,89,
1447,New York Institute of Technology,Private,1710,65.9,20.8,70,4796,15,19254
1563,Butler University,Private,1770,65.9,17.3,91,4020,69,23604
2485,Cottey College,Private,1535,65.9,45.0,,292,99,17988
548,Drake University,Private,1785,65.9,20.2,88,3365,71,21359
489,University of Massachusetts Lowell,Public,1700,65.8,28.2,81,12287,33,13872
2843,St. Vincent College,Private,1595,65.8,30.5,81,1566,67,26837
3683,Lebanon Valley College,Private,1665,65.8,20.4,86,1744,78,25471
2454,Lindenwood University,Private,1540,65.8,60.8,72,8296,52,9488
665,George Mason University,Public,1730,65.7,27.9,86,20653,28,11987
106,University of Idaho,Public,1625,65.7,33.0,77,9928,39,13554
2102,Maryville College,Private,1490,65.7,22.6,72,1093,66,30575
3727,Fairmont State University,Public,1435,65.6,41.7,64,4112,21,2727
2461,Loyola University New Orleans,Private,1720,65.6,20.6,74,3200,65,30148
946,St. Mary's College of California,Private,1660,65.6,18.1,88,3035,55,25905
1615,Carson-Newman University,Private,1510,65.6,23.7,60,1646,61,23283
1219,Widener University,Private,1530,65.5,22.5,71,3298,49,28530
2922,Rose-Hulman Institute of Technology,Private,1975,65.5,21.2,94,2121,62,28031
204,Faith Baptist Bible College and Theological Seminary,Private,1670,65.4,56.0,75,261,69,
514,Central College,Private,1545,65.4,19.8,83,1486,94,26013
1492,California State University: Los Angeles,Public,1330,65.3,16.3,81,18074,5,12384
5,Lincoln Memorial University,Private,1475,65.2,39.4,66,1851,37,21243
1592,Eastern Michigan University,Public,1540,65.1,34.5,75,18914,12,9399
1911,Birmingham-Southern College,Private,1675,65.1,27.2,81,1231,85,26675
2506,Texas A&M; University-Commerce,Public,1475,65.0,35.7,67,6768,21,11774
2588,Our Lady of the Lake University of San Antonio,Private,1335,65.0,30.0,59,1511,33,
346,Sam Houston State University,Public,1515,65.0,39.9,75,15611,,10152
1880,Franklin College,Private,1495,65.0,24.3,76,1053,69,18468
1289,College of Idaho,Private,1630,64.9,32.4,83,1042,62,24707
1453,Ithaca College,Private,1745,64.9,17.6,84,6281,68,31780
2635,Bethel College,Private,1620,64.9,29.9,62,472,72,21548
4046,VanderCook College of Music,Private,1860,64.8,77.1,90,139,18,15289
2804,Norwich University,Private,1630,64.8,31.3,,2321,83,27661
4359,University of Southern Mississippi,Public,1545,64.7,42.5,75,13658,,10446
2384,Columbia College,Private,1520,64.7,37.7,60,1088,45,21284
3360,Loyola University Maryland,Private,1755,64.6,13.1,88,3917,82,26745
559,University of South Carolina: Upstate,Public,1455,64.6,41.4,66,5427,17,11940
1014,Christopher Newport University,Public,1730,64.6,31.2,85,5046,68,8126
3262,University of New Mexico,Public,1610,64.6,46.2,77,,,
2235,Southern Arkansas University,Public,1445,64.6,35.3,60,2918,46,11897
2795,New England College,Private,1350,64.6,13.6,63,1127,45,26502
3091,Columbia International University,Private,1645,64.4,52.4,80,534,72,16544
2315,University of Nebraska - Lincoln,Public,1805,64.4,59.1,84,19103,41,12466
4115,Wheaton College,Private,1825,64.3,17.9,86,1616,95,33378
4025,Belmont Abbey College,Private,1510,64.3,25.6,63,1706,43,20368
2287,Trinity University,Private,1875,64.3,21.1,89,2353,75,29216
2283,Texas Tech University,Public,1685,64.3,39.3,81,26481,25,9907
661,Spartanburg Methodist College,Private,1320,64.3,56.6,,811,67,10000
1316,Messiah College,Private,1705,64.2,35.0,87,2798,87,21772
846,Westfield State University,Public,1535,64.2,31.4,80,5368,54,7807
1506,St. John Fisher College,Private,1615,64.2,23.9,84,2960,49,20440
786,High Point University,Private,1665,64.2,25.6,75,4070,93,
510,Centenary College of Louisiana,Private,1765,64.2,26.4,69,698,56,24104
2150,McDaniel College,Private,1660,64.1,19.1,82,1650,84,29516
4336,Manchester University,Private,1555,64.1,14.8,68,1257,75,24401
1483,Lewis & Clark College,Private,1910,64.0,13.4,88,2141,,
2895,SUNY College of Agriculture and Technology at Morrisville,Public,1300,64.0,34.4,,3095,,
817,Shorter University,Private,1470,64.0,27.0,68,,48,
2007,Ohio State University: Columbus Campus,Public,1915,64.0,43.7,92,43058,25,12201
676,Livingstone College,Private,1120,64.0,26.0,,1150,65,
4038,University of Illinois at Chicago,Public,1700,63.9,34.0,78,16678,18,14065
1548,Hanover College,Private,1650,63.9,16.0,83,1123,95,23768
4067,Lesley University,Private,1600,63.9,19.3,79,1568,54,19921
1395,Fisher College,Private,1260,63.9,24.2,64,2037,,
1560,Indiana Institute of Technology,Private,1375,63.9,21.5,55,5216,,
952,San Francisco State University,Public,1500,63.8,19.0,80,26449,12,11932
4018,University of North Carolina at Asheville,Public,1790,63.8,28.7,78,3693,38,11229
1258,Hampshire College,Private,1840,63.8,20.1,82,1461,82,34143
812,St. Mary-of-the-Woods College,Private,1390,63.7,26.3,59,795,,24813
904,New Jersey Institute of Technology,Public,1685,63.7,38.0,82,7111,23,
295,Saint Louis University,Private,1805,63.7,19.5,88,8806,51,26900
3451,Whittier College,Private,1595,63.6,15.9,86,1670,49,30802
3268,Multnomah University,Private,1600,63.6,42.7,60,503,34,9774
3934,Rocky Mountain College,Private,1490,63.5,30.6,67,1007,49,19420
3448,James Madison University,Public,1730,63.5,30.1,91,18107,36,7604
2468,Xavier University of Louisiana,Private,1485,63.5,26.1,65,2525,47,18622
4135,Parsons The New School for Design,Private,1650,63.5,42.9,85,4260,21,25252
491,University of Bridgeport,Private,1360,63.5,16.4,62,2688,48,25200
4007,San Jose State University,Public,1565,63.5,21.2,83,25157,8,16334
146,University of Arkansas,Public,1705,63.5,43.0,81,20350,33,9730
